domain,dataset,downstream_codec,transform,files,original_bytes,final_bytes,weighted_ratio,difference_vs_raw_bytes,wins_vs_raw,ties_vs_raw,losses_vs_raw,one_sided_wilcoxon_p,total_encode_seconds,total_decode_seconds
grayscale_image_tensor,fashion_mnist,bzip2_9,asbx_deterministic,10,7840160,4136108,0.5275540295096018,-84462,0,0,10,1.0,5.838229900109582,0.4477052999427542
grayscale_image_tensor,fashion_mnist,bzip2_9,asbx_oracle,10,7840160,4163797,0.5310857176384155,-112151,0,0,10,1.0,37.94100909982808,0.5840136000188068
grayscale_image_tensor,fashion_mnist,bzip2_9,raw,10,7840160,4051646,0.5167810350809167,0,0,10,0,1.0,0.41013100021518767,0.29982940037734807
grayscale_image_tensor,fashion_mnist,lzma_9,asbx_deterministic,10,7840160,3915016,0.4993540948143915,-132120,0,0,10,1.0,7.579000599798746,0.3917763001518324
grayscale_image_tensor,fashion_mnist,lzma_9,asbx_oracle,10,7840160,3948768,0.5036591089977756,-165872,0,0,10,1.0,39.67260599974543,0.5195228002266958
grayscale_image_tensor,fashion_mnist,lzma_9,raw,10,7840160,3782896,0.48250239791024674,0,0,10,0,1.0,2.265459500136785,0.21642190008424222
grayscale_image_tensor,fashion_mnist,zlib_9,asbx_deterministic,10,7840160,4481282,0.5715804269300626,-97463,0,0,10,1.0,7.822984800091945,0.20196460001170635
grayscale_image_tensor,fashion_mnist,zlib_9,asbx_oracle,10,7840160,4517617,0.5762148986755372,-133798,0,0,10,1.0,39.88394909969065,0.33443179982714355
grayscale_image_tensor,fashion_mnist,zlib_9,raw,10,7840160,4383819,0.55914917552703,0,0,10,0,1.0,2.5745900999754667,0.03094759990926832
grayscale_image_tensor,mnist,bzip2_9,asbx_deterministic,10,7840160,1562444,0.19928725944368483,-128903,0,0,10,1.0,7.184232699801214,0.5733142996905372
grayscale_image_tensor,mnist,bzip2_9,asbx_oracle,10,7840160,1607642,0.2050521928123916,-174101,0,0,10,1.0,38.842631299979985,1.0659952000714839
grayscale_image_tensor,mnist,bzip2_9,raw,10,7840160,1433541,0.182845885798249,0,0,10,0,1.0,0.19318089983426034,0.11800689995288849
grayscale_image_tensor,mnist,lzma_9,asbx_deterministic,10,7840160,1558364,0.19876686190077753,-152128,0,0,10,1.0,9.099058800027706,0.5897523999447003
grayscale_image_tensor,mnist,lzma_9,asbx_oracle,10,7840160,1605152,0.2047345972531173,-198916,0,0,10,1.0,40.76606369961519,1.06249480007682
grayscale_image_tensor,mnist,lzma_9,raw,10,7840160,1406236,0.17936317626170895,0,0,10,0,1.0,2.3992400997085497,0.10156779992394149
grayscale_image_tensor,mnist,zlib_9,asbx_deterministic,10,7840160,1732965,0.22103694312360972,-130212,0,0,10,1.0,8.974352299585007,0.4599554003216326
grayscale_image_tensor,mnist,zlib_9,asbx_oracle,10,7840160,1785266,0.2277078529009612,-182513,0,0,10,1.0,40.83675249980297,0.94065189990215
grayscale_image_tensor,mnist,zlib_9,raw,10,7840160,1602753,0.20442860859982448,0,0,10,0,1.0,2.2883652998134494,0.02358539984561503
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bzip2_9,asbx_deterministic,3,312931,14992,0.0479083248383829,-2880,0,0,3,1.0,0.5803352998336777,0.039253100054338574
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bzip2_9,asbx_oracle,3,312931,15032,0.048036148543928216,-2920,0,0,3,1.0,1.4719170997850597,0.039777400088496506
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bzip2_9,raw,3,312931,12112,0.038705018039120444,0,0,3,0,1.0,0.00676489993929863,0.0020000000949949026
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,lzma_9,asbx_deterministic,3,312931,13432,0.04292320032211574,-1648,1,0,2,0.875,0.6500925000291318,0.04040599998552352
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,lzma_9,asbx_oracle,3,312931,13444,0.042961547433779335,-1660,1,0,2,0.875,1.5455414997413754,0.045544500229880214
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,lzma_9,raw,3,312931,11784,0.03765686365364889,0,0,3,0,1.0,0.12030250008683652,0.001764100044965744
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,zlib_9,asbx_deterministic,3,312931,14943,0.04775174079908989,-680,2,0,1,0.625,0.5794715001247823,0.038008400006219745
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,zlib_9,asbx_oracle,3,312931,14963,0.04781565265186255,-700,2,0,1,0.625,1.471159199718386,0.04388619994278997
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,zlib_9,raw,3,312931,14263,0.045578737804819594,0,0,3,0,1.0,0.04952929983846843,0.0009466001065447927
