corpus,method,files,original_bytes,encoded_bytes,weighted_ratio
canterbury,asbx_deterministic,11,2810784,2495620,0.8878732766374079
canterbury,asbx_fixed_one_gaps,11,2810784,2512791,0.8939822483691383
canterbury,asbx_fixed_raw,11,2810784,2810880,1.0000341541719322
canterbury,asbx_fixed_zero,11,2810784,2732822,0.9722632546648906
canterbury,asbx_fixed_zero_gaps,11,2810784,2810880,1.0000341541719322
canterbury,asbx_fixed_zero_trim,11,2810784,2618231,0.9314949138745631
canterbury,asbx_oracle,11,2810784,2493484,0.8871133463119186
canterbury,bzip2_9,11,2810784,542710,0.19308136092990424
canterbury,lzma_9,11,2810784,492276,0.175138324396325
canterbury,zlib_9,11,2810784,727820,0.2589384314127304
silesia_sample,asbx_deterministic,12,786432,742238,0.9438044230143229
silesia_sample,asbx_fixed_one_gaps,12,786432,742421,0.944037119547526
silesia_sample,asbx_fixed_raw,12,786432,786540,1.0001373291015625
silesia_sample,asbx_fixed_zero,12,786432,755440,0.9605916341145834
silesia_sample,asbx_fixed_zero_gaps,12,786432,786540,1.0001373291015625
silesia_sample,asbx_fixed_zero_trim,12,786432,748134,0.9513015747070312
silesia_sample,asbx_oracle,12,786432,739005,0.9396934509277344
silesia_sample,bzip2_9,12,786432,256971,0.3267555236816406
silesia_sample,lzma_9,12,786432,250124,0.3180491129557292
silesia_sample,zlib_9,12,786432,290773,0.3697369893391927
